SKU,ItemTitle,ItemDescription,ItemBulletPoint,ItemDescription_2,Manufacturer,MfrPartNum,SellUOM,ItemPrice,ItemFactTag,Segment,Segment Name,Category,Category Name,Class,Class Name,Sub-Class,Sub-Class Name
134442,"Covidien T.E.D.™ Knee-Length Anti-Embolism Stockings, Large/Long, 15-17 1/2""Calf x 18""L, White",Knee-length compression stockings are designed for continued care of the recuperating patient,"<ul><li>Provide graduated compression clinically proven to reduce thromboembolic disease and help in the treatment of varicose veins.</li> <li>Comfortable, full-foot stockings are made of nylon and have a closed toe.</li> <li>Calf circumference determines size</li> <li>distance form bend of knee to bottom of heel determines length.</li></ul>",,,,EA,,,SEG_12000000,Footwear & Apparel,CAT_12200000,Footwear,CLS_12210000,Compression Attire,,
213642,"McAfee® LiveSafe™ AntiVirus Software, Unlimited Devices, For PC And Apple® Mac®, Android and iOS, Product Key Card","All-in-one online protection so your family can enjoy life online. McAfee® LiveSafe delivers a single, simple solution that protects your family’s personal data and privacy, wherever and whenever.","<ul><li>Award-winning antivirus - rest easy knowing McAfee’s protecting you from the latest threats</li> <li>Browse confidently and privately - keep your info safe from prying eyes with Secure VPN</li> <li>See how safe you are being online - get your personalized protection score, identify weaknesses and get help to fix them</li> <li>Bank, shop, and connect worry-free - be warned about risky websites before you click</li> <li>Protect your identity - your guided identity protection includes dark web monitoring for up to 10 emails</li> <li>Keep your kids safer online - with parental controls for all your family’s devices</li> <li>Secure your accounts - generate and store complex passwords with a password manager</li> <li>This item must be included with another purchase of any item.</li></ul>",,,,EA,5.25,"* Powerful online protection * 1GB memory required * 500MB hard disk space needed * For Windows 7/8/8.1/10, Mac OS X 10.10+, Android 4.1+, iOS 9+ USB flash drive Office Depot paper Portable power pack",SEG_30000000,Software,CAT_30400000,Software - Cybersecurity,,,,
134665,"Deep Round Crown Caps, Size 7 7/8, Assorted",,<ul><li>Super soft brim fitted welders cap</li> <li>Single-sided</li></ul>,,,,EA,,,SEG_12000000,Footwear & Apparel,,,,,,
134344,"Ergodyne GloWear® 8366 Lightweight Type R Class 3 High-Visibility Rain Jacket, X-Large, Orange",Get ready for a safe and successful work day by wearing the Ergodyne GloWear 8366 Rain Jacket. This Type R Class 3 jacket is made of lightweight polyester with waterproof properties and comes with several pockets to store tools and other accessories.,"<ul><li>Made of lightweight 150-denier polyester oxford with a PU coating and fully taped seams for waterproof protection.</li> <li>2 lower-front pockets with snap flaps, a cellphone chest pocket and a clear ID holder for storage.</li> <li>Vented back cape allows breathability.</li> <li>Storm flap and snap buttons keep water from penetrating the zipper.</li> <li>Hook-and-loop cuffs allow an adjustable fit.</li> <li>Reflective taping on the chest and arms help keep you visible.</li> <li>Concealed hood with drawstrings can be tucked away when it is not needed.</li> <li>Machine washable.</li> <li>ANSI/ISEA 107-2015 Type R Class 3 and 3rd Party certified.</li></ul>",,ERGODYNE CORPORATION,24365,EA,,,SEG_12000000,Footwear & Apparel,CAT_12100000,Apparel,CLS_12140000,Protective Garments,SUB_6147869,Rain Gear
88395,"Sparco® 4-Drawer Storage Organizer, 6""H x 6""W x 7 5/16""D, Clear","This Sparco Storage Organizer features four, fully removable drawers. It is great for storing small items such as clips, string, rubber bands, needles and more.","<ul><li>Each drawer is fully removable.</li> <li>This Sparco 4-drawer storage organizer is clear, so you can easily view the contents of the drawers.</li> <li>The storage organizer measures 6""H x 6""W x 7-5/16""D.</li></ul>","<p>Storage organizer features four drawers to hold small items, such as clips, rubber bands, pins and more. Drawers open independently and are fully removable. Clear construction makes it easy to identify contents.</p>",SP RICHARDS,82977,EA,6.54,,SEG_5000000,Desk Accessories,CAT_5900000,Supply Organizers,CLS_5920000,Supply Organizers - Desktop,SUB_5920001,Multi-Supply Organizers - Desktop
231405,Bumblebee Drawstring Back Pack,Take your logo with you!,<ul><li>Cinch top closure.</li> <li>Media pocket and earbud port. Protective flap and velcro closure keep items safe and secure.</li></ul>,,,,EA,4.28,,SEG_32000000,Promotional Products,CAT_32200000,Promotional - Bags & Totes,CLS_32220000,Custom - Totes,SUB_32220001,Totes - Custom 3rd Party
133974,"Ergodyne GloWear 8280BK Type R Class 2 Performance T-Shirt, X-Large, Lime","Stay cool and comfortable while you work in an Ergodyne GloWear 8280BK Type R Class 2 Performance T-Shirt. It boasts short sleeves and moisture-wicking fabric and under-arm vents to help you stay sweat-free, and the reflective accents keep you visible eve","<ul><li>Remain visible in low-light conditions with the 2"" ANSI-compliant 3M™ Scotchlite Comfort Trim reflective segments.</li> <li>ANSI-compliant polyester material is comfortable and breathable.</li> <li>Moisture-wicking fabric helps you stay dry and sweat-free.</li> <li> Under-arm vents offer cooling capabilities.</li> <li>1 outside chest pocket helps you keep track of small belongings.</li> <li>30+ UPF protection blocks out UV rays.</li> <li>Machine wash.</li> <li>Black front panel helps to hide dirt and wear.</li></ul>",,ERGODYNE CORPORATION,22535,EA,,,SEG_12000000,Footwear & Apparel,CAT_12100000,Apparel,CLS_12110000,Clothing Basics,SUB_12110004,Shirts
87672,"Realspace™ Acrylic File Sorter, 7"" x 12"" x 5"", Black/Clear",Store and organize important documents,<ul><li>Acrylic design gives your desktop a modern look.</li> <li>Non-slip base helps keep file sorter in place.</li> <li>Includes 4 dividers to help you keep track of your files.</li></ul>,,OFFICE DEPOT,ST-154C BLK-1,EA,0.01,"* Store & organize important documents * Acrylic design * Non slip base * 4 compartments * 7""H x 12""W x 5""D Office Depot paper FORAY pens Office Depot pads",SEG_5000000,Desk Accessories,CAT_5500000,File Organizers,CLS_5510000,File Organizers - Desktop,SUB_5510001,Desktop File Sorters
182884,"Ring Certified Refurbished Floodlight Camera, White","Ring Floodlight Cam is the first HD security camera with built-in floodlights, two-way talk and a siren alarm. Floodlight Cam shines the lights and starts recording as soon as motion is detected. And you’ll also get an alert on your phone and tablet to le","<ul><li>Get motion-activated alerts on your smartphone and tablet.</li> <li>See, hear and speak to anyone on your property from anywhere.</li> <li>Monitor your home from any iOS, Android and Windows 10 device.</li> <li>Watch over your home in 1080HD video.</li> <li>Monitor your blindspots with two LED floodlights.</li></ul>","Protect your home with the motion-activated security camera with built-in floodlights, a siren alarm and two-way audio, so you can see, hear and speak to anyone on your property from anywhere.",RING,R8SFP7-WEN0,EA,182,,SEG_23000000,Home Automation & Security Technology,CAT_23200000,Security Systems,CLS_23230000,Security Cameras,SUB_23230004,Security Cameras - Mountable
232314,"Custom Puma Golf Jersey Stretch Fit Cap, Assorted Colors","Perfect for your next golf outing, the Custom Puma Golf Jersey Stretch Fit Cap offers a moisture-wicking barrier to keep the sweat off of your face. The polyester and elastane construction ensures a secure fit.","<ul><li>6-panel design.</li> <li>100% polyester front panel, 93% polyester and 7% elastane panel.</li> <li>Features a performance sweatband.</li> <li>Provides a moisture-wicking barrier.</li></ul>",,,,EA,28.71,,SEG_32000000,Promotional Products,CAT_32990100,Promotional - Apparel,CLS_32990110,Custom - Caps & Hats,SUB_32990111,Caps & Hats - Custom 3rd Party
