SKU,ItemTitle,ItemDescription,ItemBulletPoint,ItemDescription_2,Manufacturer,MfrPartNum,SellUOM,ItemPrice,ItemFactTag,Segment,Segment Name,Category,Category Name,Class,Class Name,Sub-Class,Sub-Class Name
31159,"At-A-Glance Tropical Escape Monthly Wall Calendar - Julian Dates - Monthly - 1 Year - January 2021 till December 2021 - 1 Month Single Page Layout - 15"" x 12"" Sheet Size - 2"" x 1"" Block - Wire Bound - Wall Mountable - Blue",,"<ul><li>Wirebound with hanging loop and chipboard backing</li> <li>Printed on quality paper</li> <li>Features photos of a different tropical location each month</li> <li>Unruled blocks are 2"" x 1-3/4""; past and future months reference; Julian dates</li></ul>","<p>Escape to the beach with this tropical wall planner. The photographic background includes warm sand, turquoise water and palm trees. Wall planner offers convenient monthly planning with a different beach photo each month. The photo is ghosted behind the calendar grid. Dated planning pages range 12 months from January to December. One-page-per-month format includes unruled daily blocks (2"" x 1-3/4""), Sunday-through-Saturday scheduling, count of days/days remaining, holidays, and past and future months reference. Wall planner also features wire binding with a hanging loop and full chipboard back.</p>","ACCO BRANDS USA, LLC",DMWTE828DG21,EA,18.32,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
31572,"Brown Trout Regional Monthly Wall Calendar, 12"" x 12"", Georgia Wild, January To December 2021","Add beauty to your scheduling with this Brown Trout Regional Monthly Wall Calendar. The lovely photographs allow you to show off your favorite state or region in your home or office, while also keeping track of your appointments, deadlines and more.",<ul><li>1 page per month. Offers ample space to write down appointments and tasks.</li> <li>12 months: January to December.</li> <li>Pages are stapled together for durability.</li></ul>,,BROWNTROUT PUBLISHERS INC.,9.78198e+12,EA,15.56,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
30411,"Willow Creek Press Scenic Monthly Wall Calendar, 12"" x 12"", San Francisco, January To December 2022","12 high-quality, full-color images make these Wall Calendars the best around.","<ul><li>1 page per month. Grids provide ample space to write important information.</li> <li>12 months: January to December. Holidays, observances and moon phases are marked.</li> <li>Made with high-quality paper.</li> <li>Offers 6 bonus months to help you prepare for all you have coming up.</li> <li>Protective shrinkwrap</li> <li>Wrapped in protective shrink wrap.</li></ul>",,WILLOW CREEK PRESS,16497,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
29934,,Get a daily dose of your team all year round,<ul><li>Each page features full-color action shots of your favorite athletes.</li> <li>Scaled-down size is perfect for your dorm room or office cubicle. Measures 14” tall when opened.</li> <li>Finish off 2015 with this exclusive design! Includes 4 bonus months — September to December 2015.</li></ul>,,PERFECT TIMING INC,21998040533,EA,10.79,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
30709,"Willow Creek Press Animals Monthly Wall Calendar, 12"" x 12"", Just Goldendoodle Puppies, January to December 2022, 18118","The wonderful visuals on this wall calendar from Willow Creek Press make it a worthy addition to your workspace. Plus, the large, unlined blocks give you the freedom to view multiple events and reminders at a glance.","<ul><li>1 page per month. Large, unlined blocks provide ample space to write activities, appointments, due dates and more.</li> <li>12 months: January to December. Displays holidays, observances and moon phases.</li> <li>High-quality paper stock is stapled together for secure binding.</li> <li>Offers 6 bonus months to help you prepare for all you have coming up.</li> <li>Cute goldendoodle pups are sure to make you smile.</li></ul>",,WILLOW CREEK PRESS,18118,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
31717,"AT-A-GLANCE® Yearly Wall Calendar, 24"" x 36"", January To December 2022, PM1228",Clearly view all your plans for the year at once with the AT-A-GLANCE Yearly Wall Calendar. The layout has 4 rows with 3 months in each for easy big-picture planning.,"<ul><li>1 page per year. Unruled daily blocks allow open planning.</li> <li>12 months: January to December.</li> <li>Paper offers ink bleed resistance, so you can write with confidence.</li> <li>Metal bound on the top and bottom to lay flat against the wall. Eyelet enables easy hanging.</li> <li>Bold print is easy to read.</li></ul>",,"ACCO BRANDS USA, LLC",PM122822,EA,13.36,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
31879,"TF Publishing Scenic Wall Calendar, 12"" x 12"", Pacific Northwest Parks, January To December 2022","Mark down important dates and events with the TF Publishing scenic wall calendar. It features a variety of photographs, illustrations, and typographic elements that give each and every month a unique feel.",<ul><li>1 page per month.</li> <li>12 months: January to December. Contains a bonus 4-month spread from January to April.</li> <li>Printed on premium paper with saddle-stitched binding for durability.</li></ul>,,"THE TIME FACTORY, INC.",22-1170,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
32012,"Lang Turner Licensing Monthly Wall Calendar, 12"" x 24"", Zion Williamson, January to December 2022","Show off your sports fandom with a Lang Turner Licensing monthly wall calendar. Each calendar features detailed full-color photos of your favorite players, teams and stadiums to brighten your workspace each month.",<ul><li>1 page per day with spacious daily blocks.</li> <li>12 months: January to December.</li> <li>Bonus page features September – December.</li> <li>Stapled binding for year-long durability.</li></ul>,,PERFECT TIMING INC,22998012158,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
29932,,Get a daily dose of your team all year round,<ul><li>Each page features full-color action shots of your favorite athletes.</li> <li>Scaled-down size is perfect for your dorm room or office cubicle. Measures 14” tall when opened.</li> <li>Finish off 2015 with this exclusive design! Includes 4 bonus months — September to December 2015.</li></ul>,,PERFECT TIMING INC,21998040527,EA,9.9,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
31837,"TF Publishing Humor Wall Calendar, 12"" x 12"", Presidential Wit, January To December 2022","Brighten up your office with the addition of a TF Publishing Humor Wall Calendar. Monthly spreads have large daily blocks for jotting down events, appointments and reminders to help you stay on track.",<ul><li>1 page per month.</li> <li>Spreads include large daily blocks for flexible planning.</li> <li>Special pages include a 4-month overview of the upcoming year.</li> <li>12 months: January to December.</li> <li>Pages are securely saddle-stitched.</li></ul>,,"THE TIME FACTORY, INC.",22-1171,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
